Gene Name,0h-1,0h-2,0h-3,3h-1,3h-2,3h-3,9h-1,9h-2,9h-3,12h-1,12h-2,12h-3
Phex25412 CYP,0.013771,0.077087,0.848034,0.156735,-1.21537,-0.097704,-0.220669,0.206344,-0.013771,-0.260112,0.826262,-0.234852
Phex25522 OMT,0.509721,0.682301,0.649793,0.024846,-0.718152,-0.492336,-0.024846,-0.202167,0.449496,-0.190811,0.29875,-0.322716
Phex25678 2-ODD,0.404568,0.938347,1.564018,0.197776,-0.440744,-0.029473,-0.246993,-0.560092,0.529519,-0.085409,-0.264415,0.029473
Phex25692 OMT,-0.014147,0.014147,0.782915,0.058245,-1.119628,0.307045,-0.360033,-0.031656,-0.299899,0.19169,-0.420531,0.357585
Phex25842 2-ODD,-2.814873,-1.29189,-3.482238,-0.008618,-1.067066,0.246082,1.159485,1.927179,-0.023751,1.887642,0.325492,0.008618
Phex26095 CYP,-0.851944,-0.763884,0.007715,-0.007715,0.402125,-0.429775,-0.384403,1.021216,0.095846,0.325812,-0.07918,0.60338
Phex26152 CYP,0.800408,1.003806,1.622483,-0.218759,0.218759,1.009443,-0.254423,-0.856297,-0.281285,0.507677,-1.774456,-0.783565
Phex26170 CYP,-2.128386,-0.066757,-0.994327,-1.872478,-0.267365,-1.899235,0.066757,0.076672,2.760235,0.394093,2.303939,1.848376
Phex26458 OMT,-0.421322,0.799648,1.102894,0.347185,-0.521431,0.011666,-0.364902,0.468855,-0.177773,-0.173528,-0.011666,0.395415
Phex26475 OMT,0.478285,0.672658,1.399574,0.319106,-0.50325,-0.368664,-0.075518,-0.224761,-0.105429,0.179511,0.075518,-0.398182
Phex26617 OMT,-6.300969,-2.348891,-3.444436,-1.007913,-1.151695,-0.304419,0.611148,1.047534,1.049547,0.330556,0.304419,1.083716
Phex26641 OMT,-0.420758,0.263626,-0.063674,-1.407036,-4.001586,-0.815861,-0.234188,0.403565,0.063674,0.401384,0.192552,0.177289
Phex26717 OMT,-2.257446,-1.838644,-4.133477,-1.718897,-2.440696,0.063072,0.939623,-0.063072,1.941168,0.905398,2.423445,1.505606
Phex26935 CYP,-3.174417,-2.560669,0,0.49176,0,0.32673,0.285724,0.343447,0.041126,-0.20265,-0.606639,-0.602785
Phex27031 2-ODD,0.362766,0.285927,0.985816,-1.148736,-0.620831,0.313003,-0.138656,0.30335,-1.682531,-1.137489,0.138656,-0.737584
Phex27158 2-ODD,0.63679,0.705522,0.153282,0.252996,0,0.281073,-0.814588,-0.193022,-0.153282,-0.75819,-0.731119,0
Phex27400 OMT,-0.157935,-0.08807,1.148743,-0.612246,0,-2.194833,0.099535,0,0.09056,-0.61993,1.135667,0.08807
Phex27451 CYP,0,0.282075,1.131058,2.006735,2.268379,2.328494,-1.094886,0,-0.527585,-2.140067,-2.059287,-1.115002
Phex2761 OMT,-0.473671,0.131756,0.705434,-0.304819,-0.917938,-0.274793,0.260097,0.08333,0.376703,-0.270426,-0.08333,0.379526
Phex27684 OMT,-0.598564,0.22458,0,-3.195316,0,-1.212881,0.058722,0.680404,-1.646151,0.323499,-0.226457,1.160448
Phex27758 CYP,-1.564795,-1.676505,-0.125834,0.725935,-0.183947,0.848057,0.81836,0.004021,-0.050694,-0.004021,0.131198,0.397076
Phex27859 OMT,0.128756,-0.128756,0.993703,-0.21911,0.262788,-0.18368,-1.170632,-0.182602,0.61578,0.388133,0.662864,-0.596634
Phex27862 CYP,-1.571727,-0.466107,0.146196,0.002679,-1.569379,-1.24494,0.077758,0.347947,0.389378,0.195128,-0.002679,-0.133328
Phex28056 OMT,-1.737702,0.02104,0.357785,-0.547428,-0.570432,-1.232423,1.034173,-0.801419,1.12535,-0.02104,1.163087,1.059418
Phex28081 2-ODD,-5.711329,-4.053091,-2.135003,0.558101,-0.019548,0.027419,0.047831,-0.762514,-0.073612,0.019548,0.817098,0.584142
Phex28162 OMT,2.024614,1.593938,1.05245,0,0,-0.07939,-1.701894,-0.119851,-0.729399,0.6166,0,0
Phex28268 CYP,-0.932484,-0.164616,0.292627,1.287564,0.978661,1.563793,-0.134315,0,0.130019,-3.304417,-1.290683,0
Phex2842 CYP,0.684906,0.600812,0.893773,-0.969089,-1.485343,-0.096239,-0.245135,0.096239,0.440001,-0.250278,0.1125,-0.594559
